league,season,team,spi,win_forecast
UEFA Europa League,2022,Union Saint Gilloise,49.65282,0.0003
UEFA Europa League,2022,FK Qarabag,42.67856,0.00015
UEFA Europa League,2022,AEK Larnaca,42.76864,0.00005
UEFA Europa League,2022,Maccabi Haifa,45.44071,0.00005
UEFA Europa League,2022,FC Zurich,40.84245,0.00001
UEFA Europa League,2022,Malmo FF,36.98013,0.00001
UEFA Europa League,2022,Omonia Nicosia,38.79227,0.00001
UEFA Europa League,2022,Ludogorets,39.86789,0.00001
UEFA Europa League,2022,HJK Helsinki,28.37437,0.00001
UEFA Europa League,2021,Napoli,78.38544,0.06335
UEFA Europa League,2021,Real Sociedad,78.3275,0.0482
UEFA Europa League,2021,Manchester City,92.21156,0.0471
UEFA Europa League,2021,Paris Saint-Germain,85.03339,0.0468
UEFA Europa League,2021,RB Leipzig,84.94722,0.04295
UEFA Europa League,2021,Bayer Leverkusen,75.96354,0.042
UEFA Europa League,2021,West Ham United,75.62383,0.0393
UEFA Europa League,2021,Leicester City,75.2477,0.03595
UEFA Europa League,2021,Barcelona,88.23195,0.03375
UEFA Europa League,2021,Bayern Munich,89.71297,0.03235
UEFA Europa League,2021,Rangers,72.09504,0.02985
UEFA Europa League,2021,Benfica,78.20236,0.0291
UEFA Europa League,2021,Atletico Madrid,84.8024,0.0291
UEFA Europa League,2021,Liverpool,88.73918,0.0285
UEFA Europa League,2021,AS Monaco,73.4797,0.02835
UEFA Europa League,2021,Lazio,71.17275,0.0232
UEFA Europa League,2021,Real Betis,72.62479,0.0229
UEFA Europa League,2021,PSV,72.00863,0.02215
UEFA Europa League,2021,Eintracht Frankfurt,70.98506,0.0217
UEFA Europa League,2021,Ajax,84.69979,0.0209
UEFA Europa League,2021,Borussia Dortmund,83.69874,0.02
UEFA Europa League,2021,Lyon,69.73389,0.0182
UEFA Europa League,2021,Manchester United,85.67012,0.0178
UEFA Europa League,2021,Atalanta,79.49558,0.0162
UEFA Europa League,2021,FC Porto,77.29955,0.0161
UEFA Europa League,2021,AC Milan,76.75005,0.0157
UEFA Europa League,2021,Celtic,69.42694,0.01495
UEFA Europa League,2021,Juventus,80.74581,0.0136
UEFA Europa League,2021,Sevilla FC,80.64136,0.0131
UEFA Europa League,2021,Chelsea,89.61424,0.01305
UEFA Europa League,2021,Sporting CP,74.84311,0.0128
UEFA Europa League,2021,Villarreal,76.08462,0.0127
UEFA Europa League,2021,FC Salzburg,78.24646,0.01235
UEFA Europa League,2021,Internazionale,83.32294,0.01115
UEFA Europa League,2021,Real Madrid,86.40152,0.011
UEFA Europa League,2021,VfL Wolfsburg,76.60607,0.0109
UEFA Europa League,2021,Olympiacos,67.21162,0.0107
UEFA Europa League,2021,Dinamo Zagreb,64.76981,0.00865
UEFA Europa League,2021,Genk,65.68133,0.00815
UEFA Europa League,2021,Zenit St Petersburg,70.35807,0.00785
UEFA Europa League,2021,FC Midtjylland,62.96903,0.007
UEFA Europa League,2021,Marseille,64.31128,0.00615
UEFA Europa League,2021,Shakhtar Donetsk,66.54663,0.00555
UEFA Europa League,2021,Braga,62.81173,0.0051
UEFA Europa League,2021,Lille,68.27089,0.0043
UEFA Europa League,2021,Sparta Prague,57.9407,0.0025
UEFA Europa League,2021,Young Boys,63.7816,0.0025
UEFA Europa League,2021,Club Brugge,65.57329,0.0024
UEFA Europa League,2021,Galatasaray,60.71229,0.00235
UEFA Europa League,2021,Red Star Belgrade,57.0348,0.0022
UEFA Europa League,2021,Fenerbahce,58.54052,0.0021
UEFA Europa League,2021,Lokomotiv Moscow,54.54818,0.0008
UEFA Europa League,2021,Besiktas,59.62844,0.00065
UEFA Europa League,2021,Spartak Moscow,54.59474,0.00065
UEFA Europa League,2021,Ferencvaros,55.6332,0.00065
UEFA Europa League,2021,Rapid Vienna,53.20908,0.0006
UEFA Europa League,2021,Antwerp,50.03038,0.0006
UEFA Europa League,2021,Dynamo Kiev,56.8314,0.00045
UEFA Europa League,2021,Legia Warsaw,50.60531,0.0004
UEFA Europa League,2021,SK Sturm Graz,51.94257,0.00025
UEFA Europa League,2021,Brondby,47.13962,0.00015
UEFA Europa League,2021,Malmo FF,50.78188,0.0001
UEFA Europa League,2021,Ludogorets,43.80952,0.00005
UEFA Europa League,2021,FC Sheriff Tiraspol,44.65635,0.00005
UEFA Europa League,2020,Leicester City,81.70637,0.0718
UEFA Europa League,2020,Napoli,81.13012,0.06315
UEFA Europa League,2020,AC Milan,79.82499,0.0511
UEFA Europa League,2020,Tottenham Hotspur,78.86683,0.05055
UEFA Europa League,2020,Arsenal,78.68867,0.04965
UEFA Europa League,2020,Bayer Leverkusen,78.25454,0.04395
UEFA Europa League,2020,Real Sociedad,77.94251,0.0433
UEFA Europa League,2020,Benfica,77.02429,0.0388
UEFA Europa League,2020,Atletico Madrid,87.47255,0.03555
UEFA Europa League,2020,Bayern Munich,94.32717,0.0334
UEFA Europa League,2020,FC Salzburg,80.35422,0.033
UEFA Europa League,2020,Paris Saint-Germain,89.80071,0.0314
UEFA Europa League,2020,AS Roma,75.65348,0.03115
UEFA Europa League,2020,TSG Hoffenheim,74.82947,0.02785
UEFA Europa League,2020,RB Leipzig,84.1317,0.02785
UEFA Europa League,2020,Villarreal,75.42726,0.0271
UEFA Europa League,2020,Manchester United,83.96362,0.0267
UEFA Europa League,2020,Real Madrid,89.25736,0.02355
UEFA Europa League,2020,Internazionale,84.16225,0.02265
UEFA Europa League,2020,Atalanta,79.96602,0.01405
UEFA Europa League,2020,Liverpool,91.43829,0.0138
UEFA Europa League,2020,Granada,71.334,0.0133
UEFA Europa League,2020,Olympiacos,75.22003,0.01325
UEFA Europa League,2020,Lille,71.18827,0.01305
UEFA Europa League,2020,Ajax,75.1409,0.0122
UEFA Europa League,2020,Manchester City,92.84689,0.0113
UEFA Europa League,2020,Shakhtar Donetsk,75.08735,0.01105
UEFA Europa League,2020,Borussia Dortmund,84.04462,0.01105
UEFA Europa League,2020,FC Porto,76.53345,0.0109
UEFA Europa League,2020,Zenit St Petersburg,78.74321,0.0106
UEFA Europa League,2020,Young Boys,68.38628,0.01035
UEFA Europa League,2020,Borussia Monchengladbach,76.50876,0.01
UEFA Europa League,2020,Juventus,82.20989,0.0098
UEFA Europa League,2020,Celtic,68.97159,0.00975
UEFA Europa League,2020,Barcelona,90.99412,0.00895
UEFA Europa League,2020,Sevilla FC,81.01348,0.0085
UEFA Europa League,2020,Chelsea,83.65035,0.0084
UEFA Europa League,2020,Dinamo Zagreb,65.4478,0.0066
UEFA Europa League,2020,CSKA Moscow,66.11813,0.0064
UEFA Europa League,2020,Lazio,72.09006,0.00485
UEFA Europa League,2020,PSV,63.67351,0.00475
UEFA Europa League,2020,Dynamo Kiev,67.02046,0.0037
UEFA Europa League,2020,Stade Rennes,68.66212,0.0033
UEFA Europa League,2020,Slavia Prague,63.19371,0.00325
UEFA Europa League,2020,Club Brugge,68.83504,0.0032
UEFA Europa League,2020,PAOK Salonika,60.43522,0.0031
UEFA Europa League,2020,Rangers,61.2333,0.0027
UEFA Europa League,2020,AEK Athens,60.22357,0.00255
UEFA Europa League,2020,Ludogorets,58.74202,0.0023
UEFA Europa League,2020,Marseille,65.03117,0.00215
UEFA Europa League,2020,FC Krasnodar,64.815,0.00195
UEFA Europa League,2020,AZ,60.22216,0.00145
UEFA Europa League,2020,Maccabi Tel-Aviv,56.18708,0.00125
UEFA Europa League,2020,Braga,59.76947,0.0012
UEFA Europa League,2020,LASK Linz,58.0612,0.0012
UEFA Europa League,2020,Feyenoord,57.87166,0.00115
UEFA Europa League,2020,Lokomotiv Moscow,60.63727,0.0011
UEFA Europa League,2020,Nice,57.19822,0.00105
UEFA Europa League,2020,Rapid Vienna,55.15676,0.001
UEFA Europa League,2020,Red Star Belgrade,56.48291,0.00095
UEFA Europa League,2020,FC Midtjylland,57.95033,0.00085
UEFA Europa League,2020,Hapoel Be'er,55.60871,0.0008
UEFA Europa League,2020,Lech Poznan,53.0928,0.0008
UEFA Europa League,2020,KAA Gent,52.91569,0.0006
UEFA Europa League,2020,Ferencvaros,54.14011,0.0006
UEFA Europa League,2020,Wolfsberger AC,51.39381,0.0005
UEFA Europa League,2020,CSKA Sofia,54.66157,0.00035
UEFA Europa League,2020,Sparta Prague,54.39222,0.00035
UEFA Europa League,2020,FK Qarabag,52.28521,0.00035
UEFA Europa League,2020,Standard Liege,51.03345,0.00025
UEFA Europa League,2020,CFR 1907 Cluj,50.79204,0.00015
UEFA Europa League,2020,Molde,51.28299,0.00015
UEFA Europa League,2020,Slovan Liberec,42.67355,0.0001
UEFA Europa League,2020,Antwerp,48.47716,0.00005
UEFA Europa League,2020,Istanbul Basaksehir,52.7545,0.00005
UEFA Europa League,2020,Sivasspor,43.77108,0.00005
UEFA Europa League,2020,Omonia Nicosia,45.50859,0.00005
UEFA Europa League,2020,Dundalk,45.1421,0.00001
UEFA Europa League,2020,Rijeka,38.05773,0.00001
UEFA Europa League,2020,FC Zorya Luhansk,41.66638,0.00001
UEFA Europa League,2019,Manchester United,81.81595,0.08815
UEFA Europa League,2019,FC Porto,78.40947,0.05845
UEFA Europa League,2019,Arsenal,79.36129,0.0569
UEFA Europa League,2019,Sevilla FC,77.49789,0.0442
UEFA Europa League,2019,FC Salzburg,81.61547,0.02985
UEFA Europa League,2019,Borussia Dortmund,84.31643,0.02975
UEFA Europa League,2019,Atletico Madrid,83.9369,0.02935
UEFA Europa League,2019,Juventus,90.14446,0.0291
